subject,topic,subtopic,difficulty,question_text,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,exam_stage,tags
Reasoning,Puzzle & Arrangement,,medium,"Directions (1-5): Study the following information carefully and answer the given questions: Seven persons A, B, C, D, E, F and G are sitting around a circular table, but not necessarily in the same order. Some of them face towards the centre, and some face away from the centre. F sits third to the right of A. The immediate neighbours of A face the same direction but opposite as A. A faces the same direction as B but not towards the centre. One person sits between A and C. D sits 2nd to the left of C. E sits 2nd to the left of G and face in the same direction. F and D face opposite direction as E. Who among the following sits second to the right of E?",A,D,C,F,G,,,prelims,pyq
Reasoning,Puzzle & Arrangement,,medium,"Directions (1-5): Study the following information carefully and answer the given questions: Seven persons A, B, C, D, E, F and G are sitting around a circular table, but not necessarily in the same order. Some of them face towards the centre, and some face away from the centre. F sits third to the right of A. The immediate neighbours of A face the same direction but opposite as A. A faces the same direction as B but not towards the centre. One person sits between A and C. D sits 2nd to the left of C. E sits 2nd to the left of G and face in the same direction. F and D face opposite direction as E. Which among the following pair of persons faces the same direction?",G and C,A and E,E and D,C and F,None of these,,,prelims,pyq
Reasoning,Puzzle & Arrangement,,medium,"Directions (1-5): Study the following information carefully and answer the given questions: Seven persons A, B, C, D, E, F and G are sitting around a circular table, but not necessarily in the same order. Some of them face towards the centre, and some face away from the centre. F sits third to the right of A. The immediate neighbours of A face the same direction but opposite as A. A faces the same direction as B but not towards the centre. One person sits between A and C. D sits 2nd to the left of C. E sits 2nd to the left of G and face in the same direction. F and D face opposite direction as E. How many persons sit between B and F (counting clockwise from F)?",One,Three,Four,Two,None,,,prelims,pyq
Reasoning,Puzzle & Arrangement,,medium,"Directions (1-5): Study the following information carefully and answer the given questions: Seven persons A, B, C, D, E, F and G are sitting around a circular table, but not necessarily in the same order. Some of them face towards the centre, and some face away from the centre. F sits third to the right of A. The immediate neighbours of A face the same direction but opposite as A. A faces the same direction as B but not towards the centre. One person sits between A and C. D sits 2nd to the left of C. E sits 2nd to the left of G and face in the same direction. F and D face opposite direction as E. Four of the following five persons are alike in a certain way based on their seating arrangement. Find the odd one.",F,C,B,D,A,,,prelims,pyq
Reasoning,Puzzle & Arrangement,,medium,"Directions (1-5): Study the following information carefully and answer the given questions: Seven persons A, B, C, D, E, F and G are sitting around a circular table, but not necessarily in the same order. Some of them face towards the centre, and some face away from the centre. F sits third to the right of A. The immediate neighbours of A face the same direction but opposite as A. A faces the same direction as B but not towards the centre. One person sits between A and C. D sits 2nd to the left of C. E sits 2nd to the left of G and face in the same direction. F and D face opposite direction as E. Which among the following statements is/are true? G faces towards the centre. Both F and A face away from the centre. III. Two persons sit between C and D when counted clockwise from D.",Only I,Only III,Both I and II,Both II and III,"All I, II, and III",,,prelims,pyq
English Language,Grammar,,medium,"In the following questions, few sentences are given. Identify the sentences that are grammatically and contextually correct. In the following questions, a few sentences are given. Identify the sentences that are grammatically and contextually correct. (I) The team has worked really hard and deserves all of the praise they are receiving. (II) She was excited to start her new job, but her nervousness was affecting her confidence. (III) Each of the students were required to submit their projects before the deadline.",Only (I),Both (II) and (III),Only (III),Both (I) and (II),"All (I), (II), and (III)",,,prelims,pyq
English Language,Grammar,,medium,"In the following questions, a few sentences are given. Identify the sentences that are grammatically and contextually incorrect. (I) The manager, along with her team, were discussing the upcoming project in great detail. (II) If I would have known about the event earlier, I would have definitely attended it. (III) The city has experienced a significant drop in crime rates, largely due to new safety measures implemented last year.",Only (I),Both (II) and (III),Only (III),Both (I) and (II),"All (I), (II), and (III)",,,prelims,pyq
English Language,Grammar,,medium,"In the following questions, a few sentences are given. Identify the sentences that are grammatically and contextually correct. (I) If you would have studied harder, you could have passed the exam. (II) Despite the rain, the outdoor event went on as planned, attracting a large crowd. (III) The company's profits have been steadily increasing due to its new marketing strategy.",Only (I),Both (II) and (III),Only (III),Both (I) and (II),"All (I), (II), and (III)",,,prelims,pyq
Quantitative Aptitude,Arithmetic,,medium,"Directions (9-13): Read the following table carefully and answer the questions given below. The table shows the total number of bikes sold by two (X and Y) different companies in four (K, L, M, and N) different cities and the total number of cars sold by these two companies in these cities. The table also shows the total number of bikes sold by company Y in these cities. If total number of cars sold by Y in city K are two-fifth of the total number of bikes sold by Y in city K, then find the difference between the total number of cars sold by X in city K and bikes sold by X in city M.",22,16,23,15,18,,,prelims,pyq
Quantitative Aptitude,Arithmetic,,medium,"Directions (9-13): Read the following table carefully and answer the questions given below. The table shows the total number of bikes sold by two (X and Y) different companies in four (K, L, M, and N) different cities and the total number of cars sold by these two companies in these cities. The table also shows the total number of bikes sold by company Y in these cities. Total number of cars sold by X in city N is 20% less than the total number of bikes sold by X in city M. Find the ratio of the total number of cars sold by Y in city N to the total number of bikes sold by Y in city K.",3:1,2:1,2:3,1:4,1:3,,,prelims,pyq
